,idade,uf_onde_mora,nivel_de_ensino,area_formacao,situacao_trabalho,setor,cargo_atual,nivel_senioridade,tempo_experiencia,JS,Java,R,Python,SQL,Oracle,MySQL,Google_BigQuery,SQL_Server,Databricks,PostgreSQL,nao_utilizamos_cloud,Google_cloud,Azure,AWS,categorias_target
1122,27,SP,Graduação/Bacharelado,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,Empregado (CLT),Área de Consultoria,Analista de Dados/Data Analyst,Pleno,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,de 3.001/mês a R$ 6.000/mês
1123,27,SP,Pós-graduação,Outras Engenharias (não incluir engenharia de software ou TI),Empregado (CLT),Varejo,Cientista de Dados/Data Scientist,Sênior,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,de R$ 12.001/mês a R$ 20.000/mês
1124,27,PE,Pós-graduação,Outras Engenharias (não incluir engenharia de software ou TI),Empregado (CLT),Finanças ou Bancos,Analista de Dados/Data Analyst,Pleno,Menos de 1 ano,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,de R$ 6.001/mês a R$ 8.000/mês
1125,27,SP,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios,Empregado (CLT),Indústria,Analista de Negócios/Business Analyst,Pleno,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,de R$ 8.001/mês a R$ 12.000/mês
1126,27,SP,Graduação/Bacharelado,Outras Engenharias (não incluir engenharia de software ou TI),Empregado (CLT),Área de Consultoria,Engenheiro de Dados/Data Engineer/Data Architect,Pleno,Menos de 1 ano,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,de R$ 8.001/mês a R$ 12.000/mês
1127,27,MG,Graduação/Bacharelado,Outras Engenharias (não incluir engenharia de software ou TI),Empregado (CLT),Setor Alimentício,Analista de BI/BI Analyst,Júnior,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,de 3.001/mês a R$ 6.000/mês
1128,27,PR,Mestrado,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,Empregado (CLT),Finanças ou Bancos,Cientista de Dados/Data Scientist,Sênior,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,de R$ 12.001/mês a R$ 20.000/mês
1129,27,MG,Pós-graduação,Outras Engenharias (não incluir engenharia de software ou TI),Empregado (CLT),Área de Consultoria,Analista de Dados/Data Analyst,Pleno,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,de R$ 8.001/mês a R$ 12.000/mês
1130,27,SP,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Estagiário,Tecnologia/Fábrica de Software,Outra Opção,Júnior,Menos de 1 ano,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,até R$ 3.000/mês
1131,27,SP,Pós-graduação,Outras Engenharias (não incluir engenharia de software ou TI),Empregado (CLT),Internet/Ecommerce,Cientista de Dados/Data Scientist,Pleno,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,de R$ 12.001/mês a R$ 20.000/mês
1132,27,SP,Graduação/Bacharelado,Outras Engenharias (não incluir engenharia de software ou TI),Empregado (CLT),Internet/Ecommerce,Analista de Dados/Data Analyst,Sênior,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,de R$ 8.001/mês a R$ 12.000/mês
1133,27,MG,Pós-graduação,Outras Engenharias (não incluir engenharia de software ou TI),Empregado (CLT),Outra Opção,Analytics Engineer,Pleno,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,de R$ 8.001/mês a R$ 12.000/mês
1134,27,SP,Estudante de Graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,Empregado (CLT),Área de Consultoria,Analista de Dados/Data Analyst,Sênior,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,de R$ 8.001/mês a R$ 12.000/mês
1135,27,RS,Mestrado,Ciências Biológicas/ Farmácia/ Medicina/ Área da Saúde,Empregado (CLT),Internet/Ecommerce,Cientista de Dados/Data Scientist,Pleno,de 1 a 2 anos,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,de R$ 8.001/mês a R$ 12.000/mês
1136,27,PE,Mestrado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Tecnologia/Fábrica de Software,Cientista de Dados/Data Scientist,Pleno,de 5 a 6 anos,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,de 3.001/mês a R$ 6.000/mês
1137,27,SP,Graduação/Bacharelado,Outra opção,Empregado (CLT),Finanças ou Bancos,Engenheiro de Dados/Data Engineer/Data Architect,Júnior,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,de R$ 6.001/mês a R$ 8.000/mês
1138,27,MG,Graduação/Bacharelado,Outras Engenharias (não incluir engenharia de software ou TI),Empregado (CLT),Marketing,Analista de Dados/Data Analyst,Pleno,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,de R$ 8.001/mês a R$ 12.000/mês
1139,27,RS,Graduação/Bacharelado,Outras Engenharias (não incluir engenharia de software ou TI),Empregado (CLT),Finanças ou Bancos,Engenheiro de Dados/Data Engineer/Data Architect,Júnior,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,de 3.001/mês a R$ 6.000/mês
1140,27,PR,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Finanças ou Bancos,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,Pleno,de 3 a 4 anos,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,de 3.001/mês a R$ 6.000/mês
